[2025-05-01 11:03:37] SYSTEM: view_logs - User viewed logs for date: 2025-05-01
[2025-05-01 11:03:38] SYSTEM: view_logs - User viewed logs for date: 2025-05-01
[2025-05-01 11:03:45] SYSTEM: view_logs - User viewed logs for date: 2025-05-01
[2025-05-01 11:03:56] CASE: restore on case #24-002 by LUPON
[2025-05-01 11:03:57] SYSTEM: view_logs - User viewed logs for date: 2025-05-01
[2025-05-01 11:04:10] CASE: restore on case #24-003 by LUPON
[2025-05-01 11:04:12] CASE: restore on case #24-004 by LUPON
[2025-05-01 11:15:59] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ALL
[2025-05-01 11:16:00] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ALL
[2025-05-01 11:16:05] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: AUTH
[2025-05-01 11:16:05] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: CASE
[2025-05-01 11:16:06] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: USER
[2025-05-01 11:16:07] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: DATA
[2025-05-01 11:16:07] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ERROR
[2025-05-01 11:16:08] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: SYSTEM
[2025-05-01 11:16:10] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ALL
[2025-05-01 11:46:05] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ALL
[2025-05-01 11:46:09] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: AUTH
[2025-05-01 11:46:10] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: CASE
[2025-05-01 11:46:11] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: USER
[2025-05-01 11:46:11] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: DATA
[2025-05-01 11:46:12] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ERROR
[2025-05-01 11:46:12] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: SYSTEM
[2025-05-01 11:46:14] SYSTEM: view_logs - User viewed logs for date: 2025-05-01, type: ALL
